ID,period,price,unitp,area,room,bath,terrace,aircon,parking,north,south,east,west,swimpool,garden,duplex,studio,topfloor,conyr,maxfloor,dcount,quality,newdev,dist_city_centre,dist_metro,long,lat
A15019136831406238029,201803,126000,2680.851064,47,1,1,0,1,0,0,0,0,0,1,1,0,0,0,2005,7,319,3,0,8.058429304,0.872074571,-3.766932827,40.36248477
A6677225905472065344,201803,235000,4351.851852,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1900,5,11,3,0,0.876369329,0.116382136,-3.710724657,40.42242989
A13341979748618524775,201803,373000,4973.333333,75,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1915,6,26,3,0,0.907479301,0.139108833,-3.711570866,40.42219045
A4775182175615276542,201803,284000,5916.666667,48,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1947,9,15,5,0,0.845462207,0.144298951,-3.710439869,40.42225146
A2492087730711701973,201803,228000,4560,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1930,5,19,7,0,1.250231282,0.337098241,-3.714340224,40.40874089
A18372428154681111419,201803,498000,3921.259843,127,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1900,5,18,3,0,0.541772706,0.161436289,-3.707521851,40.41263869
A4705946410795464036,201803,225000,6428.571429,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1942,6,15,3,0,0.859565205,0.126994527,-3.710394806,40.42244994
A8243762537477781718,201803,365000,3650,100,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1960,6,26,6,0,1.346115257,0.263445178,-3.71412579,40.40740888
A9587449507628658013,201803,425000,6071.428571,70,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1900,5,16,1,0,0.753574574,0.437190556,-3.712389527,40.41487007
A3694300518337702967,201803,3187000,8852.777778,360,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1972,7,15,3,0,0.779228478,0.312615659,-3.712944898,40.41723603
A12604969626973677047,201803,203000,4613.636364,44,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1950,5,13,2,0,0.654662957,0.161171916,-3.709549257,40.42050918
A1682702257758295446,201803,213000,5325,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1967,6,21,5,0,0.898478487,0.349695433,-3.712250303,40.41172677
A11532129615377606790,201803,422000,3701.754386,114,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1860,6,11,5,0,0.80669583,0.16513182,-3.710111196,40.41117236
A15416265623565967313,201803,211000,7033.333333,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1880,4,7,3,0,0.705597302,0.195146263,-3.709982176,40.41235334
A2893199643597593313,201803,1013000,6535.483871,155,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1900,6,10,2,0,0.539872173,0.270396177,-3.710052758,40.41570427
